Name,2MASS Name,WISE Name,SDSS Name,Other Name,DiscRef,R.A. (h:m:s),Decl. (d:m:s),R.A. (deg),Decl. (deg),SpT_OPT,Ref,SpT_NIR,Ref,Peculiarities,Ref,Candidacy,Type,Ref,D_Trig,eD_Trig-,eD_Trig+,Ref,2MASS-WISE-μα,2MASS-WISE-μδ,μα,μδ,Ref,RV,Ref,2MASS-J,2MASS-H,2MASS-K,WISE-W1,WISE-W2,WISE-W3,WISE-W4,USNO-B,USNO-R,SDSS-u’,SDSS-g’,SDSS-r’,SDSS-i’,SDSS-z’,DENIS-I,DENIS-J,DENIS-KS,CSS-I,UCAC4-R,UCAC4-I,IRAC-ch1,Ref,IRAC-ch2,Ref,IRAC-ch3,Ref,IRAC-ch4,Ref,MKO-Y,Ref,MKO-J,Ref,MKO-H,Ref,MKO-K,Ref,MKO-L’,Ref,CH4on,Ref,CFHT-Y,Ref,VJ,Ref,RC,Ref,IC,Ref,InDwarfArchive,Comments
J1209+6457,12092527+6457066,120925.27+645706.1,,,West2008,12:09:25,64:57:07,182.35526,64.95186,M6,West2008,...,...,...,...,...,...,...,,,,,-2.6 ± 4.5,-49.0 ± 12.8,,,,,,15.235 ± 0.049,14.726 ± 0.074,14.355 ± 0.100,14.079 ± 0.027,13.775 ± 0.036,12.921,,,,25.15 ± 1.19,22.60 ± 0.14,20.76 ± 0.05,18.31 ± 0.03,17.01 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1209+1512,12092594+1512538,120925.92+151253.4,,,West2008,12:09:26,15:12:54,182.35809,15.21487,M7,West2008,...,...,...,...,...,...,...,,,,,-21.0 ± 11.6,-30.5 ± 12.5,,,,,,14.719 ± 0.029,14.097 ± 0.037,13.795 ± 0.041,13.497 ± 0.026,13.299 ± 0.034,12.596 ± 0.478,,,,23.23 ± 0.43,21.94 ± 0.05,20.32 ± 0.03,17.85 ± 0.02,16.51 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1209+3417,12092678+3417571,120926.78+341757.0,,,West2008,12:09:27,34:16:52,182.36103,34.28121,M7,West2008,...,...,...,...,...,...,...,,,,,-2.9 ± 13.0,-11.3 ± 17.0,,,,,,15.610 ± 0.055,15.139 ± 0.083,14.998 ± 0.111,14.969 ± 0.038,14.971 ± 0.081,12.925,,,,25.43 ± 0.87,24.35 ± 0.40,23.17 ± 0.24,20.43 ± 0.03,18.92 ± 0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1209+0517,12092985+0517170,120929.88+051717.2,,,West2008,12:09:30,5:17:17,182.37448,5.28807,M6,West2008,...,...,...,...,...,...,...,,,,,44.5 ± 22.0,18.6 ± 20.3,,,,,,15.885 ± 0.086,15.137 ± 0.076,15.003 ± 0.139,14.750 ± 0.037,14.582 ± 0.069,12.729,,,,25.00 ± 0.82,22.50 ± 0.10,20.99 ± 0.04,18.71 ± 0.02,17.52 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1209+5130,12093932+5130083,120939.32+513008.9,,,West2008,12:09:39,51:30:09,182.41377,51.50244,M6,West2008,...,...,...,...,...,...,...,,,,,-2.6 ± 11.3,51.1 ± 22.8,,,,,,16.685 ± 0.135,15.705 ± 0.135,15.459 ± 0.168,15.306 ± 0.036,15.176 ± 0.077,13.024,,,,23.92 ± 0.69,23.30 ± 0.29,21.61 ± 0.08,19.40 ± 0.03,18.24 ± 0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1209-0309,12094781-0309202,120947.81-030920.5,,,West2008,12:09:48,-3:09:20,182.44928,-3.1556,M6,West2008,...,...,...,...,...,...,...,,,,,8.6 ± 16.4,-30.2 ± 19.1,,,,,,15.670 ± 0.070,15.210 ± 0.080,14.714 ± 0.098,14.484 ± 0.034,14.205 ± 0.077,11.423,,,,24.92 ± 1.61,22.53 ± 0.15,20.93 ± 0.05,18.75 ± 0.02,17.48 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1210+6216,12100116+6216235,121001.14+621623.7,,,West2008,12:10:01,62:16:24,182.50497,62.27321,M7,West2008,...,...,...,...,...,...,...,,,,,-14.8 ± 9.2,12.0 ± 27.6,,,,,,16.586 ± 0.149,15.797 ± 0.158,>17.053,15.352 ± 0.039,15.099 ± 0.077,13.136,,,,26.78 ± 0.32,23.19 ± 0.23,21.51 ± 0.08,19.36 ± 0.03,18.17 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1210+1858,12100989+1858083,121009.78+185807.9,,HIP 59310 B,Deacon2014,12:10:10,18:58:08,182.54123,18.968983,...,...,M7,Deacon2014,...,...,...,...,...,44.42,2.98,2.98,VanLeuuwen2007,-151.5 ± 9.7,-36.9 ± 11.3,,,,,,13.691 ± 0.024,13.052 ± 0.032,12.692 ± 0.023,12.400 ± 0.024,12.198 ± 0.024,12.232 ± 0.310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1210+3447,12102118+3447585,121021.17+344758.6,,,West2008,12:10:18,34:47:52,182.57408,34.79772,M8,West2008,...,...,...,...,...,...,...,,,,,-8.3 ± 11.7,7.3 ± 18.4,,,,,,14.660 ± 0.036,14.135 ± 0.053,13.906 ± 0.044,13.841 ± 0.027,13.920 ± 0.043,12.661,,,,24.80 ± 1.05,24.20 ± 0.43,22.75 ± 0.20,20.44 ± 0.04,18.69 ± 0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1210-0125,12102180-0125316,121021.77-012530.9,,,West2008,12:10:22,-1:25:32,182.59073,-1.42543,M8,West2008,...,...,...,...,...,...,...,,,,,-33.5 ± 27.2,60.8 ± 24.4,,,,,,16.379 ± 0.102,15.949 ± 0.139,15.607 ± 0.251,15.241 ± 0.042,15.099 ± 0.139,12.321,,,,23.80 ± 0.78,24.62 ± 0.55,23.55 ± 0.43,20.17 ± 0.04,18.50 ± 0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1210+4009,12102230+4009228,121022.29+400923.3,,,West2008,12:10:22,40:09:23,182.59291,40.15639,M6,West2008,...,...,...,...,...,...,...,,,,,-7.3 ± 15.0,37.6 ± 23.4,,,,,,16.496 ± 0.110,15.822 ± 0.138,15.324 ± 0.146,15.053 ± 0.037,15.041 ± 0.081,13.024,,,,24.56 ± 1.31,23.19 ± 0.22,21.83 ± 0.10,19.47 ± 0.03,18.16 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1210+6205,12102519+6205296,121025.19+620529.8,,,West2008,12:10:25,62:05:30,182.60495,62.0916,M6,West2008,...,...,...,...,...,...,...,,,,,1.2 ± 6.4,10.0 ± 16.0,,,,,,15.863 ± 0.077,15.433 ± 0.113,14.942 ± 0.154,14.733 ± 0.032,14.484 ± 0.052,13.056,,,,25.39 ± 1.03,22.88 ± 0.20,21.23 ± 0.08,18.96 ± 0.02,17.69 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1210+4458,12103008+4458012,121030.09+445801.5,,,West2008,12:10:30,44:58:01,182.62536,44.96702,M7,West2008,...,...,...,...,...,...,...,,,,,8.3 ± 11.2,24.7 ± 17.6,,,,,,15.957 ± 0.079,15.208 ± 0.090,14.939 ± 0.104,14.833 ± 0.034,14.559 ± 0.054,12.886,,,,24.31 ± 1.15,24.09 ± 0.44,21.61 ± 0.07,19.21 ± 0.02,17.85 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1210+0451,12104389+0451475,121043.87+045147.9,,,West2008,12:10:44,4:51:48,182.68294,4.86325,M6,West2008,...,...,...,...,...,...,...,,,,,-27.5 ± 17.6,38.2 ± 18.2,,,,,,15.586 ± 0.072,15.042 ± 0.080,14.708 ± 0.120,14.537 ± 0.034,14.436 ± 0.063,12.68,,,,24.25 ± 0.81,22.26 ± 0.09,20.66 ± 0.03,18.54 ± 0.02,17.43 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1210+0334,12105512+0334251,,,,West2008,12:10:55,3:34:25,182.72978,3.57368,M7,West2008,...,...,...,...,...,...,...,,,,,,,,,,,,15.612 ± 0.067,14.943 ± 0.078,14.267 ± 0.084,,,,,,,25.64 ± 0.92,23.05 ± 0.19,21.26 ± 0.07,18.81 ± 0.02,17.48 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1211+3403,12110780+3403277,121107.81+340327.9,,,West2008,12:11:08,34:03:28,182.7825,34.05781,M8,West2008,...,...,...,...,...,...,...,,,,,8.4 ± 22.4,16.5 ± 29.0,,,,,,16.715 ± 0.130,15.909 ± 0.174,15.421 ± 0.162,15.281 ± 0.041,14.895 ± 0.076,12.922,,,,23.14 ± 0.56,23.69 ± 0.40,23.56 ± 0.40,20.19 ± 0.04,18.56 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1211+3623,12112124+3623008,121121.26+362300.7,,,West2008,12:11:21,36:22:58,182.83855,36.3827,M6,West2008,...,...,...,...,...,...,...,,,,,23.1 ± 11.0,-14.8 ± 14.2,,,,,,15.681 ± 0.069,15.099 ± 0.108,14.873 ± 0.127,14.423 ± 0.031,14.236 ± 0.050,12.293 ± 0.324,,,,24.65 ± 0.81,24.53 ± 0.59,22.75 ± 0.30,19.77 ± 0.05,18.73 ± 0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1211-0245,12113041-0245599,121130.25-024600.0,,,West2008,12:11:30,-2:46:00,182.87655,-2.76658,M9,West2008,...,...,...,...,...,...,...,,,,,-209.4 ± 31.1,-11.5 ± 36.6,,,,,,16.557 ± 0.118,15.945 ± 0.154,15.648 ± 0.244,15.334 ± 0.050,14.894 ± 0.132,12.117 ± 0.481,,,,24.67 ± 1.19,24.58 ± 0.68,23.29 ± 0.43,20.39 ± 0.05,18.51 ± 0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1211+4142,12113659+4142525,121136.58+414252.2,,,West2008,12:11:37,41:42:52,182.9024,41.71457,M7,West2008,...,...,...,...,...,...,...,,,,,-4.9 ± 16.8,-22.8 ± 25.6,,,,,,16.262 ± 0.114,15.579 ± 0.160,>15.113,15.240 ± 0.041,15.342 ± 0.115,12.727,,,,25.93 ± 0.68,23.24 ± 0.20,21.72 ± 0.08,19.49 ± 0.02,18.25 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1211-0125,12114069-0125395,,,,West2008,12:11:41,-1:25:39,182.91945,-1.42763,M6,West2008,...,...,...,...,...,...,...,,,,,,,,,,,,16.915 ± 0.159,16.170 ± 0.199,15.738 ± 0.233,,,,,,,25.59 ± 0.70,24.09 ± 0.41,22.09 ± 0.12,20.16 ± 0.04,18.73 ± 0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1211+0418,12114134+0418441,121141.30+041843.6,,,West2008,12:11:41,4:18:44,182.92226,4.31228,M8,West2008,...,...,...,...,...,...,...,,,,,-51.2 ± 18.8,-55.3 ± 18.2,,,,,,15.821 ± 0.081,15.145 ± 0.094,14.802 ± 0.122,14.555 ± 0.035,14.296 ± 0.063,12.352,,,,26.20 ± 0.62,24.21 ± 0.51,22.24 ± 0.14,19.46 ± 0.03,17.86 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1211+0548,12114510+0548104,,,,West2008,12:11:45,5:48:10,182.93794,5.80285,M6,West2008,...,...,...,...,...,...,...,,,,,,,,,,,,15.454 ± 0.067,15.084 ± 0.091,14.503 ± 0.099,,,,,,,24.05 ± 0.67,22.20 ± 0.08,20.73 ± 0.03,18.39 ± 0.01,17.23 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1211-0105,12114661-0105197,121146.58-010519.6,,,West2008,12:11:47,-1:05:20,182.94419,-1.08881,M8,West2008,...,...,...,...,...,...,...,,,,,-35.9 ± 27.5,8.2 ± 28.6,,,,,,16.457 ± 0.110,15.846 ± 0.122,15.541 ± 0.245,15.110 ± 0.039,14.913 ± 0.138,11.865,,,,24.70 ± 1.32,23.84 ± 0.48,23.34 ± 0.42,20.27 ± 0.05,18.70 ± 0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1211+0549,12114677+0549533,121146.67+054952.1,,,West2008,12:11:47,5:49:53,182.94484,5.83147,M9,West2008,...,...,...,...,...,...,...,,,,,-150.0 ± 15.6,-112.6 ± 19.9,,,,,,15.545 ± 0.070,14.755 ± 0.064,14.501 ± 0.108,14.189 ± 0.029,13.970 ± 0.049,12.522 ± 0.460,,,,25.49 ± 0.71,23.46 ± 0.22,21.97 ± 0.09,19.23 ± 0.02,17.69 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1211+0447,12114891+0447033,121148.97+044702.9,,,West2008,12:11:49,4:47:03,182.95386,4.78425,M6,West2008,...,...,...,...,...,...,...,,,,,97.3 ± 32.7,-33.4 ± 15.2,,,,,,15.272 ± 0.048,14.766 ± 0.064,14.309 ± 0.085,14.101 ± 0.032,13.814 ± 0.044,12.146,,,,25.12 ± 0.96,21.90 ± 0.08,20.27 ± 0.03,18.06 ± 0.02,16.94 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1212+0410,12120059+0410209,121200.50+041021.0,,,West2008,12:12:01,4:10:21,183.00241,4.17246,M8,West2008,...,...,...,...,...,...,...,,,,,-128.8 ± 17.3,11.2 ± 15.6,,,,,,15.344 ± 0.058,14.808 ± 0.060,14.524 ± 0.118,14.167 ± 0.031,13.911 ± 0.046,12.392,,,,24.26 ± 1.34,24.06 ± 0.45,21.90 ± 0.11,19.09 ± 0.02,17.41 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1212+5207,12120245+5207277,121202.48+520728.5,,,West2008,12:12:02,52:07:28,183.01028,52.12445,M7,West2008,...,...,...,...,...,...,...,,,,,23.4 ± 13.2,69.6 ± 29.6,,,,,,16.574 ± 0.115,16.051 ± 0.206,15.815 ± 0.234,15.447 ± 0.038,15.300 ± 0.079,13.313,,,,24.32 ± 0.87,23.97 ± 0.32,23.19 ± 0.26,20.06 ± 0.03,18.55 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1212+5602,12120380+5602272,121203.67+560227.0,,,West2008,12:12:04,56:02:28,183.01574,56.04107,M8,West2008,...,...,...,...,...,...,...,,,,,-100.7 ± 12.7,-21.7 ± 32.6,,,,,,16.219 ± 0.119,15.634 ± 0.147,15.333 ± 0.221,15.066 ± 0.037,14.852 ± 0.077,12.714,,,,26.09 ± 0.62,24.07 ± 0.35,22.97 ± 0.23,19.90 ± 0.03,18.30 ± 0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1212+5441,12120456+5441403,121204.54+544140.9,,,West2008,12:12:05,54:41:41,183.01897,54.69464,M6,West2008,...,...,...,...,...,...,...,,,,,-14.4 ± 5.9,53.0 ± 17.2,,,,,,14.753 ± 0.041,14.117 ± 0.036,13.915 ± 0.061,13.634 ± 0.028,13.463 ± 0.033,12.788 ± 0.436,,,,23.82 ± 0.84,21.19 ± 0.04,19.61 ± 0.02,17.60 ± 0.02,16.47 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1212+4140,12120905+4140037,121208.88+414004.9,,,West2008,12:12:09,41:40:04,183.03741,41.66787,M9,West2008,...,...,...,...,...,...,...,,,,,-159.4 ± 6.9,96.2 ± 9.8,,,,,,14.602 ± 0.032,13.904 ± 0.041,13.478 ± 0.040,13.171 ± 0.025,12.921 ± 0.028,12.899,,,,24.56 ± 1.25,23.81 ± 0.29,21.39 ± 0.06,18.66 ± 0.02,16.82 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1212+6059,12121097+6059477,121210.90+605948.0,,,West2008,12:12:11,60:59:48,183.04581,60.9967,M9,West2008,...,...,...,...,...,...,...,,,,,-41.4 ± 4.4,20.5 ± 10.3,,,,,,14.871 ± 0.040,14.262 ± 0.049,13.705 ± 0.059,13.362 ± 0.025,13.041 ± 0.027,13.002 ± 0.506,,,,22.66 ± 0.42,24.67 ± 0.74,21.86 ± 0.11,19.05 ± 0.03,17.28 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1212+3956,12121598+3956272,121215.98+395627.5,,,West2008,12:12:16,39:56:27,183.06659,39.94096,M6,West2008,...,...,...,...,...,...,...,,,,,-3.0 ± 8.6,27.6 ± 12.1,,,,,,15.143 ± 0.047,14.549 ± 0.065,14.373 ± 0.087,14.034 ± 0.029,13.845 ± 0.042,12.878,,,,23.15 ± 0.39,21.60 ± 0.05,19.97 ± 0.02,17.89 ± 0.01,16.81 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1212+6203,12121982+6203563,121219.82+620356.6,,,West2008,12:12:20,62:03:56,183.08263,62.06567,M6,West2008,...,...,...,...,...,...,...,,,,,1.7 ± 10.0,29.3 ± 28.6,,,,,,16.404 ± 0.146,15.608 ± 0.153,>15.123,15.326 ± 0.040,15.277 ± 0.093,12.825,,,,24.35 ± 1.27,23.40 ± 0.26,21.32 ± 0.08,19.34 ± 0.02,18.10 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1212+6211,12122249+6211524,,,,West2008,12:12:22,62:11:53,183.09349,62.19794,M6,West2008,...,...,...,...,...,...,...,,,,,,,,,,,,16.489 ± 0.153,15.810 ± 0.191,15.163 ± 0.197,,,,,,,25.55 ± 0.94,23.04 ± 0.21,21.44 ± 0.07,19.29 ± 0.02,18.07 ± 0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1212+6359,12122519+6359392,121225.11+635939.0,,,West2008,12:12:25,63:59:39,183.1049,63.9942,M6,West2008,...,...,...,...,...,...,...,,,,,-47.1 ± 5.9,-19.9 ± 15.6,,,,,,15.684 ± 0.075,15.149 ± 0.095,14.986 ± 0.164,14.588 ± 0.031,14.431 ± 0.049,12.662,,,,25.14 ± 1.11,22.21 ± 0.14,20.42 ± 0.05,18.48 ± 0.02,17.41 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1212+4206,12124216+4206192,121242.07+420619.5,,,West2008,12:12:42,42:06:19,183.17541,42.10533,M6,West2008,...,...,...,...,...,...,...,,,,,-90.0 ± 18.9,25.3 ± 31.3,,,,,,16.235 ± 0.097,15.574 ± 0.129,15.565 ± 0.195,15.197 ± 0.042,14.944 ± 0.078,12.954,,,,25.11 ± 0.94,22.51 ± 0.11,20.96 ± 0.04,18.95 ± 0.02,17.93 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1212+4830,12124787+4830117,,,,West2008,12:12:48,48:30:12,183.19938,48.50324,M6,West2008,...,...,...,...,...,...,...,,,,,,,,,,,,16.145 ± 0.078,15.429 ± 0.112,14.920 ± 0.108,,,,,,,25.20 ± 1.01,23.20 ± 0.18,21.68 ± 0.08,19.12 ± 0.02,17.88 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1212+5715,12125403+5715517,121253.99+571551.8,,,West2008,12:12:54,57:15:52,183.22517,57.26438,M6,West2008,...,...,...,...,...,...,...,,,,,-31.3 ± 6.0,10.1 ± 20.4,,,,,,15.251 ± 0.053,14.758 ± 0.059,14.303 ± 0.090,14.217 ± 0.028,13.971 ± 0.038,12.933,,,,26.10 ± 0.75,21.77 ± 0.09,20.20 ± 0.03,18.10 ± 0.02,16.97 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1213+4046,12130041+4046210,121300.31+404620.8,,,West2008,12:13:00,40:46:21,183.2516,40.77253,M8,West2008,...,...,...,...,...,...,...,,,,,-87.9 ± 19.5,-12.6 ± 33.5,,,,,,16.370 ± 0.127,15.664 ± 0.172,15.503 ± 0.246,15.043 ± 0.038,14.724 ± 0.061,12.551 ± 0.341,,,,24.10 ± 2.68,24.40 ± 0.35,23.30 ± 0.25,20.26 ± 0.04,18.62 ± 0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1213+0523,12130413+0523473,,,,West2008,12:13:04,5:23:47,183.26728,5.39631,M6,West2008,...,...,...,...,...,...,...,,,,,,,,,,,,16.869 ± 0.216,16.086 ± 0.198,15.595 ± 0.249,,,,,,,23.78 ± 0.69,22.89 ± 0.14,21.56 ± 0.06,19.42 ± 0.02,18.35 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1213+3308,12130899+3308134,121308.99+330813.5,,,West2008,12:13:09,33:08:13,183.28747,33.13707,M6,West2008,...,...,...,...,...,...,...,,,,,4.5 ± 13.9,15.0 ± 18.3,,,,,,15.771 ± 0.066,15.157 ± 0.076,14.969 ± 0.094,14.711 ± 0.033,14.476 ± 0.063,12.461,,,,24.32 ± 0.82,22.24 ± 0.09,20.89 ± 0.04,18.70 ± 0.02,17.55 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1213+5233,12131357+5233083,121313.55+523308.8,,,West2008,12:13:14,52:33:09,183.30659,52.55237,M6,West2008,...,...,...,...,...,...,...,,,,,-12.0 ± 11.6,44.4 ± 24.3,,,,,,16.540 ± 0.123,16.036 ± 0.181,15.431 ± 0.168,15.334 ± 0.035,15.106 ± 0.064,13.41,,,,23.63 ± 0.69,23.75 ± 0.27,21.97 ± 0.09,19.51 ± 0.02,18.21 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1213+3926,12131788+3926450,121317.88+392645.2,,,West2008,12:13:18,39:26:34,183.32423,39.44287,M8,West2008,...,...,...,...,...,...,...,,,,,7.7 ± 21.4,18.6 ± 33.2,,,,,,16.631 ± 0.159,15.963 ± 0.217,15.395 ± 0.203,15.371 ± 0.047,15.072 ± 0.090,12.632,,,,23.74 ± 0.72,24.18 ± 0.32,22.92 ± 0.20,20.52 ± 0.04,18.89 ± 0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1213+0400,12131807+0400505,121318.06+040050.2,,,West2008,12:13:18,4:00:51,183.32526,4.01405,M6,West2008,...,...,...,...,...,...,...,,,,,-13.2 ± 35.9,-25.1 ± 35.1,,,,,,16.184 ± 0.116,15.911 ± 0.152,15.441 ± 0.225,15.251 ± 0.045,15.160 ± 0.107,12.322,,,,24.54 ± 0.90,23.53 ± 0.32,21.92 ± 0.08,19.45 ± 0.02,18.15 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1213+6322,12132584+6322380,121325.83+632238.3,,,West2008,12:13:20,63:22:31,183.33138,63.37519,M7,West2008,...,...,...,...,...,...,...,,,,,-5.5 ± 3.4,23.8 ± 9.1,,,,,,12.625 ± 0.020,12.380 ± 0.023,12.320 ± 0.018,12.241 ± 0.023,12.279 ± 0.023,12.385 ± 0.294,,,,25.93 ± 0.93,23.79 ± 0.41,23.39 ± 0.39,20.53 ± 0.07,18.96 ± 0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1213-0034,12132877-0034453,121328.60-003443.1,,,West2008,12:13:29,23:25:14,183.36986,-0.57927,M6,West2008,...,...,...,...,...,...,...,,,,,-227.8 ± 11.4,189.4 ± 10.9,,,,,,13.649 ± 0.028,13.005 ± 0.026,12.691 ± 0.031,12.438 ± 0.025,12.248 ± 0.030,11.799 ± 0.367,,,,23.51 ± 0.54,20.62 ± 0.03,19.00 ± 0.02,16.67 ± 0.02,15.39 ± 0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1213+5320,12132927+5320006,121329.21+532000.9,,,West2008,12:13:29,53:20:01,183.37203,53.33352,M6,West2008,...,...,...,...,...,...,...,,,,,-44.7 ± 9.6,25.1 ± 19.2,,,,,,16.066 ± 0.088,15.512 ± 0.116,15.240 ± 0.148,15.000 ± 0.033,14.883 ± 0.067,13.198,,,,25.28 ± 1.00,22.61 ± 0.12,20.94 ± 0.04,18.86 ± 0.02,17.75 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1213+5746,12133069+5746307,121330.72+574630.6,,,West2008,12:13:31,57:46:31,183.37787,57.77516,M6,West2008,...,...,...,...,...,...,...,,,,,24.9 ± 11.2,-9.3 ± 28.2,,,,,,16.498 ± 0.162,>15.908,>16.13,15.367 ± 0.041,15.157 ± 0.084,13.081,,,,24.73 ± 1.30,22.71 ± 0.13,21.39 ± 0.07,19.25 ± 0.03,18.07 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1213+6724,12133165+6724373,,,,West2008,12:13:32,67:24:37,183.38173,67.4104,M7,West2008,...,...,...,...,...,...,...,,,,,,,,,,,,15.913 ± 0.093,15.555 ± 0.139,14.944 ± 0.146,,,,,,,24.64 ± 1.03,23.23 ± 0.19,21.79 ± 0.09,19.17 ± 0.02,17.83 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1213+0436,12133326+0436583,121333.22+043658.2,,,West2008,12:13:33,4:36:58,183.38859,4.61619,M6,West2008,...,...,...,...,...,...,...,,,,,-59.6 ± 36.0,-14.5 ± 38.4,,,,,,16.532 ± 0.175,15.707 ± 0.170,>15.232,15.602 ± 0.059,15.490 ± 0.146,12.67,,,,23.29 ± 0.83,22.88 ± 0.18,21.45 ± 0.08,19.33 ± 0.03,18.23 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1213+4033,12133425+4033224,,,,West2008,12:13:34,40:33:22,183.39263,40.5562,M6,West2008,...,...,...,...,...,...,...,,,,,,,,,,,,16.266 ± 0.110,15.464 ± 0.140,15.078 ± 0.154,,,,,,,23.61 ± 0.78,23.04 ± 0.19,21.23 ± 0.06,19.14 ± 0.02,17.99 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1213+4032,12134183+4032061,121341.85+403204.9,,,West2008,12:13:42,40:32:05,183.42443,40.5348,M8,West2008,...,...,...,...,...,...,...,,,,,17.2 ± 16.3,-99.6 ± 24.0,,,,,,16.072 ± 0.102,15.672 ± 0.164,15.248 ± 0.163,14.818 ± 0.035,14.594 ± 0.066,12.505,,,,25.76 ± 0.72,24.39 ± 0.51,22.97 ± 0.25,19.98 ± 0.03,18.38 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1213+4653,12134535+4653306,121345.45+465330.8,,,West2008,12:13:45,46:53:31,183.43919,46.89187,M6,West2008,...,...,...,...,...,...,...,,,,,91.2 ± 11.7,14.4 ± 18.8,,,,,,16.137 ± 0.085,15.425 ± 0.113,14.997 ± 0.108,14.966 ± 0.036,14.705 ± 0.066,12.378,,,,23.76 ± 0.79,22.46 ± 0.11,21.00 ± 0.05,18.90 ± 0.02,17.68 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
